שם הכלי,קטגוריה / תשמיש,מקור מדויק,ציטוט מתוך המקור,הסבר וביאור הכלי
מלקחיים,כלי שרת / מאור,שמות כ"ה מ',וּמַלְקָחֶיהָ וּמַחְתֹּתֶיהָ זָהָב טָהוֹר,כלי לאחיזת פתילות הנר וסילוק החלקים השרופים
ספל,כלי שתייה,שופטים ה' כ"ה,בְּסֵפֶל אַדִּירִים הִקְרִיבָה חֶמְאָה,קערה או כוס שתייה רחבה
כוס,כלי שתייה,תהילים כ"ג ה',כּוֹסִי רוָיָה,כלי קיבול קטן לשתיית נוזלים
קערה,כלי הגשה / מקדש,במדבר ז me',קַעֲרַת כֶּסֶף אַחַת,כלי שטוח ורחב להגשת מאכלים או מנחות
מחבת,כלי בישול,ויקרא ב' ה',וְאִם מִנְחָה עַל הַמַּחֲבַת קָרְבָּנֶךָ,כלי שטוח עם דפנות נמוכות לטיגון בשמן
מרחשת,כלי בישול,ויקרא ב' ז',וְאִם מִנְחַת מַרְחֶשֶׁת קָרְבָּנֶךָ,כלי עמוק לבישול בשמן (בעל דפנות גבוהות מהמחבת)
פרור,כלי בישול,במדבר י"א ח',וּבִשְׁלוּ בַּפָּרוּר,סיר חרס או מתכת לבישול נזיד
אביק,כלי זיקוק / מעבדה,בבלי עבודה זרה לג:,אביקא דחמרא,כלי חרס בעל צינור המיועד לזיקוק נוזלים או יין
אסוך,כלי קיבול לשמן,מלכים ב' ד' ב',אִם כִּי אִם אָסוּךְ שָׁמֶן,כד חרס קטן המיועד במיוחד להחזקת שמן סיכה
מקלעת / קלע,כלי מלחמה,שמואל א' י"ז מ',וַיִּקַּח אֶת מַקְלוֹ... וּפִלְכּוֹ וְקַלְעוֹ בְּיָדוֹ,רצועת עור או שער להטלת אבנים למרחק
חנית,כלי מלחמה,שמואל א' י"ח י',וְהַחֲנִית בְּיַד שָׁאוּל,מוט עץ ארוך שבראשו להב מתכת חד לדקירה
חרב,כלי מלחמה,בראשית ג' כ"ד,וְאֵת לַהַט הַחֶרֶב הַמִּתְהַפֶּכֶת,כלי נשק בעל להב מתכת מושחז לחיתוך ולדקירה
מגֵן,כלי הגנה / מלחמה,שמואל ב' א' כ"א,כִּי שָׁם נִגְעַל מָגֵן גִּבּוֹרִים,כלי הגנה עשוי עור או מתכת להדיפת מכות ונשק
צנה,כלי הגנה / מלחמה,שמואל א' י"ז ז',וְנֹשֵׂא הַצִּנָּה הֹלֵךְ לְפָנָיו,מגן ענקי המכסה את כל גוף הלוחם
שריון,כלי הגנה / מלחמה,שמואל א' י"ז ה',וְשִׁרְיוֹן קַשְׁקַשִׁים הוּא לָבוּשׁ,כלי הגנה ללבישה העשוי קשקשי מתכת או דסקיות
כובע / קסדה,כלי הגנה / מלחמה,שמואל א' י"ז ה',וְכוֹבַע נְחֹשֶׁת עַל רֹאשׁוֹ,כיסוי מתכת קשה להגנה על הראש במלחמה
פטיש,כלי מלאכה,ישעיהו מ' י"ט,וּמַחֲלִיק פַּטִישׁ אֶת הוֹלֶם פָּעַם,כלי כבד ממתכת או אבן להכאה ועיצוב מתכות
מקבת,כלי מלאכה / בנייה,שופטים ד' כ"א,וַתִּקַּח יָעֵל... אֶת הַמַּקֶבֶת בְּיָדָהּ,פטיש עץ או אבן לתקיעת יתדות ובנייה
סדן,כלי מלאכה,משנה כלים י"ב א',סַדָּן שֶׁל צֹרְפִים,גושים כבדים של ברזל או אבן שעליהם רקעים מתכת
סכין / מאכלת,כלי חיתוך,בראשית כ"ב י',וַיִּשְׁלַח אַבְרָהָם אֶת יָדוֹ וַיִּקַּח אֶת הַמַּאֲכֶלֶת,כלי מתכת מושחז לשחיטה ולחיתוך
מגרה,כלי מלאכה / ניסור,שמואל ב' י"ב מ"א,וַיָּשֶׂם בַּמְּגֵרָה וּבַחֲרִיצֵי הַבַּרְזֶל,מסור בעל שיניים לחיתוך עץ או אבן
איזמל,כלי מלאכה / גילוף,משנה שבת י"ט ב',מְבִיאִין אִיזְמֵל עַל יְדֵי שַׁבָּת,סכין קטנה וחדה מאוד לגילוף, ניתוח או מילה
קרוסטלין,כלי זכוכית,בבלי בבא בתרא פט:,קרוסטלין דזכוכית,כלי זכוכית זכה ומשובחת לאחסון ושתייה
מכתשת,כלי כתישה,במדבר י"א ח',וְדָכוּ בַּמְּדֹכָה,כלי קיבול עמוק שבו כותשים חיטים, תבלינים או סממנים
מחט,כלי תפירה,משנה כלים י"ג ה',מַחַט שֶׁנִּטַל חֹרָהּ,כלי מתכת דק וחד בעל קוף (חור) להשחלת חוט
סליל / כוך,כלי טקסטיל,משנה כלים י"ז ט"ו,כּוּךְ שֶׁל פִּשְׁתָּן,כלי או מוט שעליו כורכים את חוטי התפירה
פלך,כלי טקסטיל,משלי ל"א י"ט,יָדֶיהָ שִׁלְחָה בַכִּישׁוֹר וְכַפֶּיהָ תָּמְכוּ פָלֶךְ,מוט אנכי המשמש לטוויית סיבי צמר ופשתן לחוטים
כישור,כלי טקסטיל,משלי ל"א י"ט,יָדֶיהָ שִׁלְחָה בַכִּישׁוֹר,כלי או מוט האוחז את אגודת הסיבים שלפני הטווייה
צינורה,כלי בית / תפירה,משנה כלים י"ג ב',צִינּוֹרָה שֶׁל פִּשְׁתָּן,סיכה או מחט מעוקלת לאחיזת חוטי פשתן
מסרק,כלי טואלט / מלאכה,משנה כלים י"ג ב',מַסְרֵק שֶׁל רֹאשׁ,כלי בעל שיניים לסירוק השיער או לטרק סיבי צמר
מראה,כלי טואלט,שמות שְׁמֹנָה כ"ח,בְּמַרְאֹת הַצֹּבְאֹת,לוח מתכת ממורק (נחושת/כסף) למבט ושיקוף
חוקים,כלי כתיבה,ישעיהו ל' ח',וְעַל סֵפֶר חֻקָּהּ,חרט או כלי חקוק לכתיבה על לוחות
חרט,כלי כתיבה,ישעיהו ח' א',וּכְתֹב עָלָיו בְּחֶרֶט אֱנוֹשׁ,כלי מתכת או אבן חד לחקירת אותיות על לוח או עור
קולמוס,כלי כתיבה,משנה אבות ה' ו',וְיֵשׁ אוֹמְרִים אַף הַקּוּלְמוֹס,קנה מחודד המשמש לכתיבה בדיו על קלף
דיוטא,כלי כתיבה,משנה שבת ח' ג',דְּיוֹתָא כְּשִׁעוּר כְּתִיבָה,כלי קיבול (קסת) המכיל את הדיו לכתיבה
מדף,כלי אחסון,משנה כלים י"ט א',מַדַּף שֶׁל עֵץ,לוח עץ המחובר לקיר לאחסון ספרים או כלים
תרמיל,כלי נשייה / מסע,משנה כלים כ"ד א',תַּרְמִיל שֶׁל רוֹעִים,תיק עור המיועד לנשיאת מזון וכלים בדרכים
קופה,כלי קיבול / אגר שדים,משנה כלים ט"ז א',קֻפָּה שֶׁל תֶּבֶן,סל קלוע גדול לאחסון ושינוע משאות
חצבי / כד,כלי קיבול גדול,שופטים ז' ט"ז,וַכַדִּים רֵיקִים וְלַפִּידִים בְּתוֹךְ הַכַּדִּים,כלי חרס גדול לאחסון מים, שמן או יין
שידה,כלי אחסון / ריהוט,משנה כלים י"ח א',שִׁדָּה תֵּבָה וּמִגְדָּל,ארון עץ גדול לאחסון בגדים וכלים
תיבה,כלי אחסון,משנה כלים י"ח א',שִׁדָּה תֵּבָה וּמִגְדָּל,ארגז עץ בעל מכסה לאחסון חפצי ערך וספרים
מגדל,כלי אחסון / ריהוט,משנה כלים י"ח א',שִׁדָּה תֵּבָה וּמִגְדָּל,ארון עץ גבוה עם מדפים ודלתות
מיטה,כלי שכיבה / ריהוט,בראשית מ"ז ל"א,וַיִּשְׁתַּחוּ יִשְׂרָאֵל עַל רֹאשׁ הַמִּטָּה,מסגרת עץ או מתכת עם רצועות לשכיבה ושינה
דרגש,כלי שכיבה / ריהוט,משנה סנהדרין ב' א',וְעַל הַדַּרְגַּשׁ הוּא יוֹשֵׁב,מיטה קלה או ספה נמוכה עם רצועות
ספסל,כלי ישיבה / ריהוט,משנה כלים כ"ב ג',סַפְסָל שֶׁנִּטְלָה אַחַת מִרַגְלָיו,מושב עץ ארוך המיועד לכמה בני אדם
קתדרא,כלי ישיבה / ריהוט,משנה כתובות ה me',יוֹשֶׁבֶת עַל הַקַּתֶּדְרָא,כיסא מלכותי או כיסא נוח בעל משענת
מנורה,כלי מאור / מקדש,שמות כ"ה ל"א,וְעָשִׂיתָ מְנֹרַת זָהָב טָהוֹר,כלי מאור בעל קנים להחזקת נרות שמן
פנס,כלי מאור,משנה כלים כ"ט ח',פָּנָס שֶׁיֵּשׁ לוֹ בֵּית קִבּוּל נֵר,כלי קיבול מוגן (מזכוכית או בד) להחזקת נר ברוח
עששית,כלי מאור,בבלי יומא נג:,עששית של זכוכית,מנורת זכוכית עגולה וגדולה למאור
עול,כלי חקלאות,במדבר י"ט ב',אֲשֶׁר לֹא עָלָה עָלֶיהָ עֹל,מתקן עץ המונח על צוואר הבהמה לרתימתה למחרשה
מלמד הבקר,כלי חקלאות,שופטים ג' ל"א,בִּמְלַמַּד הַבָּקָר שֵׁשׁ מֵאוֹת אִישׁ,מוט עץ שבקצהו דרבן מתכת להכוונת הבהמה בשדה
מזלג התבואה,כלי חקלאות,ישעיהו ל' כ"ד,אֲשֶׁר זֹרֶה בָרַחַת וּבַמִּזְרֶה,כלי עץ בעל שיניים לזריית התבואה ברוח
רחת,כלי חקלאות,ישעיהו ל' כ"ד,אֲשֶׁר זֹרֶה בָרַחַת,את עץ שטוחה להרמת הדגן וזרייתו
מורג,כלי חקלאות,ישעיהו מ"א ט"ו,הִנֵּה שַׂמְתִּיךָ לְמוֹרַג חָרוּץ חָדָשׁ,מתקן עץ הכולל אבנים או אופני ברזל לדיש התבואה
ריחיים,כלי טחינה,דברים כ"ד ו',לֹא יַחֲבֹל רֵחַיִם וָרָכֶב,מתקן שתי אבנים (רכב וארכוב) שטוחנות את החיטה לקמח
רכב,כלי טחינה,שופטים ט' נ"ג,וַתַּשְׁלֵךְ אִשָּׁה אַחַת פֶּלַח רֶכֶב,האבן העליונה והזזה במתקן הריחיים
שוקת,כלי השקיה,בראשית כ"ד כ',וַתְּעַר כַּדָּהּ אֶל הַשֹּׁקֶת,כלי אבן או עץ ארוך המיועד להשקיית בהמות
צינור,כלי מים,שמואל ב' ה' ח',וְיִגַּע בַּצִּנּוֹר,צינור או תעלה להובלת מים
נבל יין,כלי קיבול,שמואל א' א' כ"ד,וְנֵבֶל יַיִן,כלי חרס גדול מאד לאחסון יין
לגין,כלי קיבול,משנה כלים ב' ב',הַלָּגִין וְהַכַּד,בקבוק חרס בעל ידית להחזקת נוזלים
קנקן,כלי קיבול,משנה אבות ד' כ',אַל תִּסְתַּכֵּל בַּקַּנְקַן אֶלָּא בַּמֶּה שֶׁיֵּשׁ בּוֹ,כלי חרס לאחסון יין לאורך זמן
משפך,כלי עזר / מעבר,משנה כלים ג' ב',מַשְׁפֵּךְ שֶׁל בַּעַל הַבַּיִת,כלי רחב בראשו וצר בתחתיתו להעברת נוזלים
תרבד,כלי בישול / הגשה,משנה כלים י"ג ב',תַּרְבַּד שֶׁנִּטְלָה כַּפּוֹ,כף יציקה גדולה (תרבד) לבחישה והגשת תבשיל
קערת אטום,כלי בישול,משנה כלים ב' א',קְעָרָה אֲטוּמָה,קערה עמוקה ללא נקבים לשמירת חום המאכל
פכפך,כלי נוזלים,בבלי יומא נד:,פכפך של מים,כלי חרס קטן הנוטף מים טיפה אחר טיפה
חמורה,כלי אריגה,משנה כלים כ"א א',חֲמוֹרָה שֶׁל אֹרְגִים,חלק בעול או בנול האריגה המחזיק את החוטים
סריקה,כלי טקסטיל,משנה כלים י"ב ב',מסרק של סורקי צמר,מסרק ברזל עבה לעיבוד וניקוי צמר גלמי
ציפורן,כלי כתיבה / גילוף,ירמיהו י"ז א',כְּתוּבָה בְּעֵט בַּרְזֶל בְּצִפֹּרֶת שָׁמִיר,חוד חזק מאד (שמיר) לחריטה על אבן ומתכת
עט ברזל,כלי כתיבה,איוב י"ט כ"ד,בְּעֵט בַּרְזֶל וְעֹפָרֶת,כלי חריטה עשוי ברזל לכתיבה על לוחות אבן
קופסה,כלי אחסון קטן,משנה כלים ט"ז א',קֻפְסָא שֶׁל בְּשָׂמִים,תיבה קטנה ומעוצבת לאחסון תכשיטים או בשמים
אמתחת,כלי נשיאה,בראשית מ"ב כ"ז,לָתֵת מִסְפּוֹא לַחֲמֹרוֹ... בְּפִי אַמְתַּחְתּוֹ,שק גדול עשוי בד או עור להובלת משאות
אזור,כלי לבוש / אחיזה,ירמיהו י"ג א',הָלוֹךְ וְקָנִיתָ לְּךָ אֵזוֹר פִּשְׁתִּים,חגורת בד או עור לנשיאת חרב וכלים אישיים
ארגז,כלי אחסון,שמואל א' ו' ח',וְאֵת כְּלֵי הַזָּהָב... תָּשִׂימוּ בָאַרְגַּז,תיבת עץ קטנה המחוברת לעגלה
מנעול,כלי אבטחה,שיר השירים ה me',עַל כַּפּוֹת הַמַּנְעוּל,מנגנון עץ או מתכת לסגירת דלתות
בריח,כלי אבטחה,שמות כ"ו כ"ו,וְעָשִׂיתָ בְרִיחִם עֲצֵי שִׁטִים,מוט עץ או ברזל המבריח ונועל את הדלת מקצה לקצה
יתד,כלי בנייה / אהלים,שופטים ד' כ"א,וַתִּקַּח יָעֵל... אֶת יְתַד הָאֹהֶל,מוט עץ או מתכת מחודד לתקיעה באדמה
מכוש,כלי חקלאות,משנה כלים י"ג ז',מַכּוֹשׁ שֶׁנִּטְלָה בֵּית קִבּוּלוֹ,כלי חפירה ועידור באדמה קשה
אייר / יערה,כלי דבש / אכילה,שמואל א' י"ד כ"ז,בִּקְצֵה הַמַּטֶה... בְּיַעְרַת הַדְּבָשׁ,כלי או מוט לאיסוף דבש
מחתת אפר,כלי שרת,במדבר ד' י"ד,אֶת הַמַּחְתֹּת וְאֶת הַמִּזְלָגֹת,כלי שטוח מנחושת לאיסוף ופינוי אפר המזבח
סירות,כלי בישול / ניקוי,שמות כ"ז ג',וְעָשִׂיתָ סִּרֹתָיו לְדַשְּׁנוֹ,סירים ייעודיים לקבלת הדשן והאפר במקדש
גלגל,כלי שאיבה,קהלת י"ב ו',וְנָרֹץ הַגַּלְגַּל אֶל הַבּוֹר,מתקן גלגלת עגול למשיכת חבל ודלי מן הבור
דלי,כלי שאיבה,ישעיהו מ' ט"ו,הֵן גּוֹיִם כַּמַּר מִדְּלִי,כלי עור, חרס או עץ לשאיבת מים מבור
חבל,כלי עזר / קשירה,יהושע ב' ט"ו,וַתּוֹרִדֵם בַּחֶבֶל בְּעַד הַחַלּוֹן,סיבים שזורים חזקים לקשירה, הרמה ושאיבה
אבוב,כלי נגינה,משנה ערכין ב' ג',אֲבוּב הָיָה בַמִּקְדָּשׁ,כלי נשפה עשוי קנה לנצוח ולנגינה
חצוצרה,כלי נגינה / איתות,במדבר י' ב',עֲשֵׂה לְךָ שְׁתֵּי חֲצוֹצְרֹת כֶּסֶף,כלי נשיפה ישר ממתכת לתקיעה, הקהלת עדה ומלחמה
שופר,כלי נשיפה,ויקרא כ"ה ט',וְהַעֲבַרְתָּ שׁוֹפַר תְּרוּעָה,קרן איל חלולה לתקיעה במועדים ויובל
תוף,כלי נגינה,שמות ט"ו כ',וַתִּקַּח מִרְיָם הַנְּבִיאָה... אֶת הַתֹּף בְּיָדָהּ,כלי הקשה עשוי מסגרת עץ ועור מתוח
מצילתיים,כלי נגינה,דברי הימים א' ט"ו י"ט,בִּמְצִלְתַּיִם נְחֹשֶׁת לְהַשְׁמִיעַ,זוג צלחות נחושת להקשה והשמעת קול במקדש
צלצלים,כלי נגינה,תהילים ק"נ ה',הַלְלוּהוּ בְצִלְצְלֵי שָׁמַע,כלי הקשה קטנים ממתכת להרעדת קול
שלישים,כלי נגינה,שמואל א' י"ח ו',בְּתֻפִּים בְּשִׂמְחָה וּבְשָׁלִשִׁים,כלי נגינה משולש ממתכת או בעל שלושה מיתרים
עוגב,כלי נגינה,בראשית ד' כ',תֹּפֵשׂ כִּנּוֹר וְעוּגָב,כלי נשיפה קדום מורכב מכמה קנים
