שם הכלי,קטגוריה / תשמיש,מקור מדויק,ציטוט מתוך המקור,הסבר וביאור הכלי
נפה,כלי ניפוי,משנה אבות ה' ט"ו,הַנָּפָה שֶׁמּוֹצִיאָה אֶת הַקֶּמַח וְקוֹלֶטֶת אֶת הַסֹּלֶת,כלי לניפוי קמח והפרדת הסולת מהמורסן
כברה,כלי סינון,עמוס ט' ט',כַּאֲשֶׁר יִנּוֹעַ בַּכְּבָרָה,כלי בעל חורים רחבים לסינון דגנים
רהט / רהטים,כלי השקיה,בראשית ל' ל"ח,בָּרְהָטִים בִּשְׁקָתוֹת הַמָּיִם,שוקת או צינור עץ להשקיית הצאן
פשתה / כוורת,כלי מלאכה / גידול,משנה עוקצין ג' י',כַּוֶּרֶת דְּבוֹרִים,מבנה/כלי עשוי קש או חרס לגידול דבורים ורדיית דבש
נול / ארגמן,כלי אריגה,שופטים ט"ז י"ד,וַתִּתְקַע בַּיָּתֵד וַתֹּאמֶר... עִם הַמַּסָּכֶת,מסגרת עץ למתיחת חוטי השתי והערב באריגה
בוכייר,כלי אריגה,בבלי שבת קה:,האורג... והעביר בוכייר,כלי עץ שבאמצעותו מעבירים את חוט הערב בין חוטי השתי
רשת,כלי ציד,תהילים ק"מ ו',פַּחִים פָּרְשׂוּ רֶשֶׁת לְיַד מַעְגָּל,מסגרת חוטי עור או חבלים לציד חיות ועופות
מגרפה,כלי עבודה,משנה כלים י"ג ז',מַגְרֵפָה שֶׁנָּטְלוּ שִׁנֶּיהָ,כלי שיניים ממתכת לאיסוף תבואה או יישור עפר
מעדר,כלי חקלאות,ישעיהו ה' ו',בַּמַּעְדֵּר יֵעָדֵרוּן,כלי לפתיחת ועדירת האדמה
מפתח,כלי בית,שופטים ג' כ"ה,וַיִּקְחוּ אֶת הַמַּפְתֵּחַ וַיִּפְתָּחוּ,כלי מתכת בעל שיניים לפתיחת מנעולי עץ או ברזל
מסרק של פשתן,כלי מלאכה,משנה כלים י"ג ב',מַסְרֵק שֶׁל פִּשְׁתָּן,כלי מסמרים ממתכת לניקוי והפרדת סיבי הפשתן
כף,כלי אכילה / מקדש,במדבר ז' י"ד,כַּף אַחַת עֲשָׂרָה זָהָב מְלֵאָה קְטֹרֶת,כלי קיבול קטן ומוארך להקטרת קטורת או לאכילה
מחבת,כלי בישול,ויקרא ב' ה',וְאִם מִנְחָה עַל הַמַּחֲבַת קָרְבָּנֶךָ,כלי מתכת שטוח לטיגון ובישול בשמן
מחתה,כלי שרת,שמות כ"ז ג',וּמַחְתֹּתָיו נְחֹשֶׁת,כלי שטוח ממתכת להרמת גחלים מן המזבח
