שם הכלי,קטגוריה / תשמיש,מקור מדויק,ציטוט מתוך המקור,הסבר וביאור הכלי
מגרפה של מזבח,כלי מקדש,משנה עדיות ח' ד',מגרפה של מקדש,כלי מתכת רחב לגרף אפר מן המזבח
סכין של זבחים,כלי מקדש / שחיטה,משנה זבחים י"ג ג',סכין של קודש,סכין מושחזת ממתכת טהורה לשחיטת קדשים
מזרק של זהב,כלי מקדש,מלכים א' ז' נ',וְהַסִּפּוֹת וְהַמְזַמְרוֹת וְהַמִּזְרָקוֹת... זָהָב טָהוֹר,כלי שרת לקבלת דם הפר והשעיר ביום הכיפורים
כף זהב,כלי מקדש,שמות כ"ה כ"נ,כַּפּוֹתָיו וּקְשֹׁתָיו,כלי זהב להקטרת קטורת הסמים על מזבח הזהב
סיר של דשן,כלי מקדש,שמות כ"ז ג',סִּרֹתָיו לְדַשְּׁנוֹ,סיר נחושת גדול במקדש שבו נתנו את הדשן שפונה מהמזבח
מכסה של תבה,כלי אחסון,משנה כלים ט"ז ז',מכסה של תבה,דלת או מכסה עץ הנפרד מהארון
מנעול של מנעל,כלי לבוש / אבטחה,משנה כלים י"ג ו',מנעול של מנעל,אבזם סגירה ממתכת לסנדל או נעלי עור
עריבה של בלנים,כלי מרחץ,משנה כלים ט"ז א',עריבה של בלנים,גיגית עץ גדולה לרחצה בבית המרחץ
כסא של כובס,כלי מלאכה,משנה כלים כ"ב ד',כסא של כובס,שרפרף עץ שקע עליו מניחים את הבגדים לחבטה
אימום,כלי מלאכה,משנה כלים כ"ו ד',אימום של מנעinternal,תבנית עץ בצורת כף רגל לייצור ועיצוב מנעלים
מַרְצֵעַ,כלי מלאכה,שמות כ"א ו',וְרָצַע אֲדֹנָיו אֶת אָזְנוֹ בַּמַּרְצֵעַ,מחט ברזל עבה וחדה לנקוב חורים בעור
מספריים,כלי חיתוך,משנה כלים י"ג א',מספריים של מספרים,כלי בעל שתי להבים לחיתוך שיער, בד או צמר
מסרק של צמר,כלי טקסטיל,משנה כלים י"ז י"ג,מסרק של צמר,כלי מסמרים עבים לפרימת סיבי צמר
כישור של טוות,כלי טקסטיל,משנה כלים י"ז י"א,כישור של טוות,קנה או מוט האוחז את הצמר בשעת טוויה
צינור של אריג,כלי טקסטיל,משנה כלים י"ג ב',צינור של אריג,מחט מעוקלת להעברת חוטי השתי והערב
גולל,כלי ספר / כתיבה,משנה כלים ט"ו ו',גולל של ספר,מוט עץ המחובר לקצה גליל הקלף
מכחול,כלי קוסמטיקה / רפואה,משנה כלים י"ג ב',מכחול שנשבר,מוט מתכת או שן עדין למריחת כחל על העיניים
שפופרת,כלי קיבול צר,משנה כלים י"ז א',שפופרת של קנה,צינור חלול מקנה, עץ או מתכת לאחסון מחטים או אבק שרפה/כחל
אמתחת של עור,כלי מסע,משנה כלים כ"ו ב',אמתחת של עור,תרמיל עור גדול לנשיאת חפצים וכלי עבודה
סל שפופרות,כלי אחסון,משנה כלים ט"ז א',סל של שפופרות,סל קלוע עם חלוקה פנימית לאחסון בקבוקים או שפופרות
מגרפה של רועים,כלי חקלאות,משנה כלים י"ג ז',מגרפה של רועים,כלי עץ או מתכת לאיסוף מספוא לצאן
כלוב של עופות,כלי ציד / גידול,ירמיהו ה' כ"ז,כִּכְלוֹב מָלֵא עוֹף,סל רשת מנצרים או עץ להחזקת עופות
זמורה,כלי חקלאות / כריתה,משנה כלים י"ג ח',סכין של זמורה,סכין מעוקלת לכריתת ענפים וגפנים
חרמש,כלי חקלאות,דברים ט"ז ט',מֵהָחֵל חֶרְמֵשׁ בַּקָּמָה,כלי מתכת מעוקל בעל ידית ארוכה לקצירת תבואה
מדרס,כלי לבוש / מנעל,משנה כלים כ"ו ד',מדרס של מנעל,סוליית עור או עץ המורכבת בתחתית המנעל
סנדל מסוטר,כלי לבוש / מנעל,משנה כלים כ"ו ד',סנדל מסוטר,סנדל עור מחוזק במסמרי ברזל
נפה של קמח,כלי סינון,משנה כלים ט"ו ב',נפה של קמח,מסגרת עץ עם רשת משי/שיער לניפוי קמח
כברה של חולין,כלי סינון,משנה כלים ט"ו ב',כברה של חולין,רשת עץ עם חורים רחבים להפרדת צרורות מחיטים
טבלת כתיבה,כלי כתיבה,משנה כלים כ"ד ז',טבלא של כתיבה,לוח עץ מצופה שעווה לכתיבה ומחיקה
לוח של אבן,כלי כתיבה,שמות ל"א י"ח,לֻחֹת אֶבֶן כְּתֻבִים בְּאֶצְבַּע אֱלֹהִים,לוח אבן שטוח המיועד לחקירת מילים
דף של ספר,כלי כתיבה,ירמיהו שְׁלֹשָׁה וְשִׁשִּׁים כ"ג,כִּקְרוֹא יְהוּדִי שָׁלֹשׁ דְּלָתוֹת וְאַרְבָּעָה,יריעת קלף או פפירוס מתוך מגילה
מחתה של נחושת,כלי מקדש,במדבר י"ז ד',אֵת מַחְתּוֹת הַנְּחֹשֶׁת,מחתות ששימשו להקטרת קטורת
קערת זהב,כלי מקדש,במדבר ז' י"ד,כַּף אַחַת עֲשָׂרָה זָהָב,קערת זהב להגשת מנחות ומאכלים בקודש
